IDSBR,Nama Usaha,Alamat,Kode Wilayah,Status Perusahaan,len,kode_kecamatan,nama_kecamatan
97487070,CV. RAMPOANG CP ADVERTISING,SUNGAI SADDANG BARU  NO 6,7371031010,Aktif,10,7371031,Rappocini
97488402,RENTAL PS 2 (KAHAR),BTN MINASA UPA BLOK A,7371031002,Aktif,10,7371031,Rappocini
97488391,KLINIK GIGI,JL.SUNGAI SADDANG BARU,7371031010,Aktif,10,7371031,Rappocini
97487079,BENGKEL KARYA JAWA (SARYANTO),SUNGAI SADDANG BARU BALLAPARANG 2,7371031010,Aktif,10,7371031,Rappocini
97487098,KATERING SALSABILA,JL BERINGIN RAYA NO,7371031004,Aktif,10,7371031,Rappocini
97488422,KIOS PLB UNM,LINGKUP KAMPUS FIP UNM,7371031002,Aktif,10,7371031,Rappocini
97485876,HARMONY PRODUCTION,JALAN KELAPA TIGA GANG 2 NO 14,7371031010,Aktif,10,7371031,Rappocini
97489095,KIOS DIANA,JL HERTASNING RAYA,7371031004,Aktif,10,7371031,Rappocini
97488427,JUAL BELI MOBIL (SUHARDI),BTN MINASA UPA BLOK L18 NO 6,7371031001,Aktif,10,7371031,Rappocini
97488461,SAFURA KOST (YOLAN NR),JALAN PELITA RAYA LR 4 NO 7,7371031010,Aktif,10,7371031,Rappocini
97488446,LOS ALUMINIUM (ANUGRAH),JL SYEKH YUSUF,7371031001,Aktif,10,7371031,Rappocini
97489155,TOKO OBAT BERIZIN,JL PINANG NO 163,7371031004,Aktif,10,7371031,Rappocini
97489205,JUAL REMPEYEK (SRI MULIATI),BTN MINASA UPA,7371031001,Aktif,10,7371031,Rappocini
97489196,WARUNG MINAKJINGGO,JL HERTASNING 100,7371031005,Aktif,10,7371031,Rappocini
97485910,KANTOR NOTARIS <INA KARTIKA SARI>,JL PELITA RAYA,7371031008,Aktif,10,7371031,Rappocini
97488481,JUAL HP DAN ASESORIS,SUNGAI SADDANG BARU RAYA,7371031010,Aktif,10,7371031,Rappocini
97488504,MINI MARKET RSIA BAHAGIA,BTN MINASA UPA BLOK H 7 NO 9,7371031001,Aktif,10,7371031,Rappocini
97488495,JUAL KAYU (FIRMAN),JL SYEKH YUSUF,7371031001,Aktif,10,7371031,Rappocini
97488503,HAYAR`S MODIFICATION CAR,JALAN MINASA UPA BLOK H 8 NO 1 D,7371031001,Aktif,10,7371031,Rappocini
97489246,JUAL PULSA (MULIATI),PELITA RAYA 2 NO 30,7371031008,Aktif,10,7371031,Rappocini
97485967,PENJAHIT (NILA),JL.WIJAVA KUSUMA 5 NO. 5,7371031007,Aktif,10,7371031,Rappocini
97487243,DORTER PRAKTEK (EWI LINGGO),HERTASNING RAYA TIMUR NO.26,7371031004,Aktif,10,7371031,Rappocini
