input_id,title_maps,address_maps,IDSBR_best,nama_bps_best,alamat_bps_best,score_jw,label
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,sumber cool rappocini,"depan hokky cell, Jl. Rappocini Raya No.209, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3574828,sumber medikalindo,jl.sultan alauddin 3,0.84,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko niken,"Jl. Hertasning Barat II No.12, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",5411750,toko ikhsan,btn minasa upa blok ab 4 no 5,0.91,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko utama,"Jl. Rappocini Raya No.160, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97492759,toko utama,buakana,1.0,match
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko alba,"Jl. Andi Djemma No.40, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97490238,toko askar,jl tamalate 5 setapak 8 no 21,0.9,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko sukaria,"Jl. Rappocini Raya No.124, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",5407411,toko sahra,jl komp unm,0.93,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko duta lampu,"Jl. Rappocini Raya, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97492759,toko utama,buakana,0.91,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,audhia phone store,"Jl. Rappocini Raya No.175 B, Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",3902660,audiya,jl landak baru,0.79,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko azkira,"Jl. Rappocini Raya Lrg. 11A No.27, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90125",97490238,toko askar,jl tamalate 5 setapak 8 no 21,0.92,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,indira collection rappocini,"Jl. Rappocini Raya No.5 D no. 5, Rappocini, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",3152614,indra,"jl toddopuli 1 blok  blok 25 no 75 rt 003 rw 007, kassi-kassi",0.81,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ruko buah dan sembakoh,"RC6W+9QH ruko buah dan sembakoh, Jl. Syech Yusuf, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97463189,rumah kos (rahmad),jl rappocini raya lr 6,0.77,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ruko pak pramono,"Jl. Hertasning Baru No.108 / 110, RT.000, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97470203,ruko kontrakan (yusran),hertasning,0.82,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ruko new zamrud,"Ruko New Zamrud, Jl. A. P. Pettarani No.6 Blok E, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97876428,warung bakso rudal,jl mon emmy saelan,0.71,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ruko frans,"RFH3+RHX RUKO FRANS, Kassi-Kassi, Rappocini, Makassar City, South Sulawesi 90222",97470203,ruko kontrakan (yusran),hertasning,0.84,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,pusat alat bantu dengar melawai ruko sulton alaudin makassar,"Jl. Sultan Alauddin No.261, Gunung Sari, Rappocini, Makassar City, South Sulawesi 90221",2561221,pusat kegiatan belajar masyarakat masagena,"jl hertasning 1 blok blok e10 no 11 rt 000 rw 000, tidung",0.86,unmatch
df47e415-bf87-4389-85e8-a8b455e608cf,radja kost landak baru/ guest house,"Jl. Landak Baru 7 No.8, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97468706,tpa al jauharatul hudro,jl hertasning baru,0.7,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,rpm coffee,"Jl. Ruko Komp. Permatasari No.24, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97504910,herts coffe,jl aroepala no 255,0.78,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,kk indonesia makassar,"Ruko Alauddin Plaza BA 18, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",2772949,kk indonesia,jl sultan alauddin ruko alauddin plaza,0.91,match
acba7139-1d9b-4473-b3cc-87b6397530c4,jalan rappocini raya lorong 8,"Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",5407414,jualan ayam potong <asriani>,jl tamalate 1,0.76,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,dcrepes ruko hertasning,"Jl. Letjen Hertasning No.116 A, Bonto Makkio, Rappocini, Makassar City, South Sulawesi 90222",97469124,dapur hertasning,hertasning,0.78,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,kerja,"roku bussines, depan man 1, Jl. Talasalapang, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97503094,koperasi,btn minasa upa blok d9 no 11,0.79,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,erafone ruko alauddin,"Ruko Alauddin Plaza, Blok BA9, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",3644572,euro fka indonesia,jl tidung 1 stp 1,0.76,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,rumah dannis permatasari,"Jalan Sultan Alauddin Ruko Permatasari Nomor 32, Gunung Sari, Rappocini, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3276162,rumah donatur makassar,jl nikel ii,0.9,unmatch
4896e439-f12c-4fe3-8e0c-e3bff3bfc438,pt sembilan karya sarana,"Jl. Hertasning Baru Ruko Taman Gosyen Indah No.1, Gunung Sari, Rappocini, Makassar City, South Sulawesi 90221",97466679,pt bhanda ghara reska,jl. hertasning kompleks  perumahan palm mas no. 7,0.84,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,clivo studio,"Jl. Talasalapang Ruko No. 2 (Depan Gerbang BPH, Jl. Talasalapang, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",3371247,cipta konstruksindo,jl rappocini raya,0.75,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,cv.jaya karya abadi,"JL. TALA SALAPANG RUKO B NO.10, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",2544012,jaya karya abadi,jl talasalapang ruko b,0.95,match
acba7139-1d9b-4473-b3cc-87b6397530c4,rumah anterin makassar,"Emisaelang III.Ruko A.6, Jl. Monumen Emmy Saelan, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3276162,rumah donatur makassar,jl nikel ii,0.93,unmatch
4896e439-f12c-4fe3-8e0c-e3bff3bfc438,hungrig frozen makassar,"Jl. Mahoni No.104, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4089175,kurir makassar,"jl.tidung i stp i no.6, bonto makkio",0.81,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ruko grand royal no.3,"RFC7+82V Ruko Grand Royal No.3, Jl. Masuk,Swkilah Al Azhari, Kel, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90233",3272732,r dan r,"komplek permatasari blok ps iii/12 rt.001 rw.018, gunung sari",0.76,unmatch
2bea196f-5477-4067-88b8-4cf7096d1907,benih raja r7 area sulawesi selatan,"Jl. Tamalate II No.172, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3933398,biro perjalanan wisata agus (travel agus).,jl hertasning baru no.1 kassi-kassi,0.75,unmatch
9e2bc75b-6e34-4648-ad3d-0a8920ea6584,bintang agen,"Jl. Cokonuri Raya No.13, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",4492799,bintang,jl banta-bantaeng lr 10,0.92,unmatch
9e2bc75b-6e34-4648-ad3d-0a8920ea6584,agen brilin ardijaya,"Jl. Monumen Emmy Saelan lll No.08A, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 99222",97472761,agen travel (indrawati),puri taman sari blok c1 no 4,0.85,unmatch
9e2bc75b-6e34-4648-ad3d-0a8920ea6584,mudika mandiri (distributor atap upvc alderon bitumen onduline onduvilla polycarbonate solartuff acp bluescope makassar),"Kompleks BTN, Komp. Mangasa Permai No.6, Gunung Sari, Rappocini, Makassar City, South Sulawesi 90221",3145906,lembaga pendidikan anak usia dini (paud) terpadu dharma wanita (dw) binaan lpmp sulsel,jl ap pettarani (lpmp) makassar,0.7,unmatch
9e2bc75b-6e34-4648-ad3d-0a8920ea6584,intanis agency sr12 makassar,"Jl. Minasa Upa No.F.15/20, RT.004/RW.23, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3739251,intan sinergi karya,jl ap pettarani ruko pettarani center,0.85,unmatch
