IDSBR,Nama Usaha,Alamat,Kode Wilayah,kode_kecamatan,alamat
3582669,inti sejahtera lestari,"jl talasalapang no 24 c, gunung sari",7371031001,7371031,"jl talasalapang no 24 c, gunung sari"
3582750,anugrah kencana,jl raya pendidikan,7371031006,7371031,jl raya pendidikan
3583243,88 investama,jl perumahan bumi bosowa permai,7371031001,7371031,jl perumahan bumi bosowa permai
3583904,sumber warna nusantara,"jl monginsidi baru no 68 a rt 002 rw 004, balla parang",7371031010,7371031,"jl monginsidi baru no 68 a rt 002 rw 004, balla parang"
3586661,radenmaskembar,jl hertasning raya,7371031006,7371031,jl hertasning raya
3587967,tower upnw kawasan timur indonesia,jl ap pettarani,7371031007,7371031,jl ap pettarani
3589017,organisasi pemuda pemudi makassar,"btn minasa upa blok g/15, gunung sari",7371031001,7371031,"btn minasa upa blok g/15, gunung sari"
3589266,lembaga pemberdayaan kumkm indonesia sulsel,"jl.ap pettarani ruko zamrud blk e/9, rappocini",7371031009,7371031,"jl.ap pettarani ruko zamrud blk e/9, rappocini"
3589544,tk almira,monumen emmy saelan iii komp pu jeneberang jl. bendungan bili-bili,7371031002,7371031,monumen emmy saelan iii komp pu jeneberang jl. bendungan bili-bili
3589636,makassar mandiri utama,jalan aroepala nomor 27,7371031004,7371031,jalan aroepala nomor 27
3589637,pandawa infotek,"jl pelita raya tengah blok a3/7 rt 003 rw 009, balla parang",7371031010,7371031,"jl pelita raya tengah blok a3/7 rt 003 rw 009, balla parang"
3589836,sarana rezeki anugerah,minasa sari 1,7371031001,7371031,minasa sari 1
3590100,jalan menuju sukses,jl teduh bersinar griya fajar mas regency i,7371031001,7371031,jl teduh bersinar griya fajar mas regency i
3590586,dee sembilan belas plus,jl rsi faisal x,7371031007,7371031,jl rsi faisal x
3591050,sinar cahaya bulan,syekh yusuf katangka,7371031,7371031,syekh yusuf katangka
3592827,nadena,jl. a. pettarani blok e 29,7371031006,7371031,jl. a. pettarani blok e 29
3593501,ubhor bangun sejahtera,perum griya pdgi taman malebbina 1 pd 01,7371031001,7371031,perum griya pdgi taman malebbina 1 pd 01
3593896,mastrada surya,jl bonto langkasa i,7371031007,7371031,jl bonto langkasa i
3594443,diana valas indo sejahtera,jl jipang raya ruko mustika mega sari a.2,7371031001,7371031,jl jipang raya ruko mustika mega sari a.2
3595227,batara cipta,"jl.rsi faisal ix no.12 rt.003 rw.02, banta-bantaeng",7371031007,7371031,"jl.rsi faisal ix no.12 rt.003 rw.02, banta-bantaeng"
3596669,koperasi serba usaha gotong royong,"jl beringin 7 no 4 rt.006 rw.010, kassi-kassi",7371031004,7371031,"jl beringin 7 no 4 rt.006 rw.010, kassi-kassi"
3597316,manarul ilmi makassar,kompleks minasa sari 2,7371031,7371031,kompleks minasa sari 2
3597551,aila jaya perkasa,"jl.hertasning baru komplek permata hijau permai blok f no.3 rt 003 rw 002, kassi-kassi",7371031004,7371031,"jl.hertasning baru komplek permata hijau permai blok f no.3 rt 003 rw 002, kassi-kassi"
3598885,as sunnah hafayu makassar,"rsi faisal raya i,phinisi nusantara residence no. a4",7371031007,7371031,"rsi faisal raya i,phinisi nusantara residence no. a4"
3599013,rezky jaya,jl. wijaya kusuma i,7371031007,7371031,jl. wijaya kusuma i
3601022,karunia anugerah sentosa sejati,jl cokonuri dalam komp rukan,7371031006,7371031,jl cokonuri dalam komp rukan
3603702,azzam sukses amanah,jl skarda n 1,7371031001,7371031,jl skarda n 1
3604109,mannyingarri indonesia timur,jl rappocini raya,7371031009,7371031,jl rappocini raya
